"Operon_ID","Gene","Product"
420,"ampS","aminopeptidase"
421,"ykpC","hypothetical protein"
422,"mreBH","rod-share determining protein MreBH"
423,"abh","transcriptional regulator"
423,"kinC","two-component sensor histidine kinase"
424,"ykqA","hypothetical protein"
424,"ktrC","potassium uptake protein"
425,"ybaF","permease"
426,"adeC","adenine deaminase"
426,"rnjA","ribonuclease J1"
427,"ykzG","hypothetical protein"
428,"ykrA","hydrolase"
429,"def","peptide deformylase"
430,"ykzV","hypothetical protein"
431,"ykyA","chromosome partitioning protein"
431,"pdhA","pyruvate dehydrogenase E1 component subunit alpha"
432,"truA","tRNA pseudouridine synthase A"
433,"pdhB","pyruvate dehydrogenase E1 component subunit beta"
433,"pdhC","branched-chain alpha-keto acid dehydrogenase E2 subunit"
434,"pdhD","dihydrolipoamide dehydrogenase"
435,"slp","small peptidoglycan-associated lipoprotein"
436,"ykzW","hypothetical protein"
437,"speA","arginine decarboxylase"
438,"yktA","hypothetical protein"
439,"yktB","hypothetical protein"
440,"ykzI","hypothetical protein"
440,"suhB","inositol monophosphatase"
440,"ykzC","hypothetical protein"
441,"rplM","50S ribosomal protein L13"
442,"yktD","hypothetical protein"
443,"nprE","extracellular neutral metalloprotease"
443,"ylaA","hypothetical protein"
444,"rpsI","30S ribosomal protein S9"
444,"ylaB","hypothetical protein"
444,"ylaC","RNA polymerase ECF-type sigma factor"
445,"ylaD","anti-YlaC sigma factor"
446,"ylaE","hypothetical protein"
447,"ylaF","hypothetical protein"
448,"bipA","GTPase"
449,"ylaH","hypothetical protein"
450,"ylaI","hypothetical protein"
451,"ylaJ","lipoprotein"
452,"ylaK","phosphate starvation inducible protein"
453,"ylaL","hypothetical protein"
453,"ylaM","glutaminase"
454,"ybaJ","methyltransferase"
455,"ylaN","hypothetical protein"
456,"ftsW","cell-division protein"
457,"pycA","pyruvate carboxylase"
458,"ctaA","heme-A synthase"
459,"ctaB","protoheme IX farnesyltransferase"
459,"ctaC","cytochrome caa3 oxidase subunit II"
460,"ybaK","alkylated deoxynucleotide triphosphohydrolase"
460,"ctaD","cytochrome caa3 oxidase subunit I"
460,"ctaE","cytochrome caa3 oxidase subunit III"
460,"ctaF","cytochrome caa3 oxidase subunit IV"
461,"ctaG","cytochrome aa(3) assembly factor"
462,"ylbA","hypothetical protein"
462,"ylbB","oxidoreductase"
463,"cwlD","N-acetylmuramoyl-L-alanine amidase"
464,"ylbC","hypothetical protein"
464,"ylbD","hypothetical protein"
465,"ylbE","hypothetical protein"
466,"ylbF","regulatory protein"
467,"ylbG","hypothetical protein"
467,"ylbH","hypothetical protein"
468,"coaD","phosphopantetheine adenylyltransferase"
469,"ylbJ","factor required for spore cortex formation"
469,"ylbK","hydrolase"
470,"ylbL","degradation protein"
471,"ylbM","hypothetical protein"
472,"salA","Mrp family regulator"
473,"ylzH","hypothetical protein"
473,"ylbN","hypothetical protein"
474,"rpmF","50S ribosomal protein L32"
475,"ylbO","spore coat protein regulator protein YlbO"
