"Operon_ID","Gene","Product"
172,"HCP21_00026550","hypothetical protein"
172,"HCP21_00026620","NLI interacting factor-like phosphatase."
172,"HCP21_00026660","Transcriptional activator, adenine-specific DNA methyltransferase"
172,"HCP21_00026770","RNA recognition motif."
172,"HCP21_00026850","hypothetical protein"
172,"HCP21_00026940","Aspartokinases"
172,"HCP21_00027010","hypothetical protein"
173,"HCP21_00027090","hypothetical protein"
173,"HCP21_00027120","Serine/threonine protein kinase"
174,"HCP21_00027240","hypothetical protein"
174,"HCP21_00027390","hypothetical protein"
175,"HCP21_00027520","hypothetical protein"
175,"HCP21_00027650","CRISPR-associated endonuclease Cas1, NMENI subtype"
175,"HCP21_00027720","hypothetical protein"
175,"HCP21_00027730","hypothetical protein"
176,"HCP21_00027760","hypothetical protein"
176,"HCP21_00027770","hypothetical protein"
176,"HCP21_00027780","ORF6N domain."
176,"HCP21_00027830","hypothetical protein"
177,"HCP21_00027850","hypothetical protein"
178,"HCP21_00027870","hypothetical protein"
178,"HCP21_00028050","NADH:flavin oxidoreductases, Old Yellow Enzyme family"
178,"HCP21_00028100","UDP-N-acetylmuramate-alanine ligase"
178,"HCP21_00028110","Methionine aminopeptidase"
178,"HCP21_00028190","hypothetical protein"
178,"HCP21_00028200","hypothetical protein"
178,"HCP21_00028300","hypothetical protein"
179,"HCP21_00028380","hypothetical protein"
180,"HCP21_00028490","hypothetical protein"
180,"HCP21_00028520","hypothetical protein"
180,"HCP21_00028530","RNA recognition motif."
180,"HCP21_00028630","Restriction endonuclease"
180,"HCP21_00028660","hypothetical protein"
180,"HCP21_00028740","GTPase SAR1 and related small G proteins"
181,"HCP21_00028770","hypothetical protein"
181,"HCP21_00028780","hypothetical protein"
181,"HCP21_00028930","hypothetical protein"
182,"HCP21_00028940","hypothetical protein"
183,"HCP21_00028970","hypothetical protein"
184,"HCP21_00029060","hypothetical protein"
184,"HCP21_00029100","Serine/threonine protein kinase"
184,"HCP21_00029120","ABC-type multidrug transport system, ATPase component"
184,"HCP21_00029140","hypothetical protein"
184,"HCP21_00029180","HRD ubiquitin ligase complex, ER membrane component"
184,"HCP21_00029400","hypothetical protein"
185,"HCP21_00029490","hypothetical protein"
186,"HCP21_00029540","AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)"
187,"HCP21_00029600","hypothetical protein"
188,"HCP21_00029620","NhaP-type Na+/H+ and K+/H+ antiporters"
188,"HCP21_00029860","RNA-binding protein of the Puf family, translational repressor"
188,"HCP21_00029870","GTPase SAR1 and related small G proteins"
188,"HCP21_00030030","Molecular chaperone"
188,"HCP21_00030050","MORN repeat."
188,"HCP21_00030110","hypothetical protein"
188,"HCP21_00030130","hypothetical protein"
188,"HCP21_00030180","hypothetical protein"
189,"HCP21_00030200","hypothetical protein"
190,"HCP21_00030230","hypothetical protein"
190,"HCP21_00030600","ATPase components of ABC transporters with duplicated ATPase domains"
190,"HCP21_00030610","UDP-galactopyranose mutase"
190,"HCP21_00030620","Predicted peptidase"
190,"HCP21_00030700","hypothetical protein"
190,"HCP21_00030780","hypothetical protein"
190,"HCP21_00030920","hypothetical protein"
191,"HCP21_00031020","hypothetical protein"
192,"HCP21_00031030","hypothetical protein"
193,"HCP21_00031040","Leishmanolysin."
193,"HCP21_00031070","small GTP-binding protein domain"
194,"HCP21_00031100","hypothetical protein"
194,"HCP21_00031270","hypothetical protein"
194,"HCP21_00031280","MORN repeat."
195,"HCP21_00031320","hypothetical protein"
196,"HCP21_00031420","23S"
196,"HCP21_00031540","hypothetical protein"
197,"HCP21_00031560","hypothetical protein"
197,"HCP21_00031690","hypothetical protein"
198,"HCP21_00031810","Fe-S-cluster-containing hydrogenase components 1"
198,"HCP21_00031900","Long-chain acyl-CoA synthetases (AMP-forming)"
198,"HCP21_00031910","hypothetical protein"
198,"HCP21_00031940","UDP-N-acetylmuramyl pentapeptide synthase"
198,"HCP21_00032070","Leishmanolysin."
199,"HCP21_00032150","Long-chain acyl-CoA synthetases (AMP-forming)"
200,"HCP21_00032350","hypothetical protein"
200,"HCP21_00032360","hypothetical protein"
200,"HCP21_00032390","hypothetical protein"
200,"HCP21_00032440","hypothetical protein"
200,"HCP21_00032460","hypothetical protein"
200,"HCP21_00032530","23S"
201,"HCP21_00032540","16S"
201,"HCP21_00032550","hypothetical protein"
201,"HCP21_00032570","hypothetical protein"
201,"HCP21_00032630","hypothetical protein"
202,"HCP21_00032790","hypothetical protein"
203,"HCP21_00032840","Inorganic pyrophosphatase/exopolyphosphatase"
204,"HCP21_00032930","16S"
204,"HCP21_00032940","Glycosyl transferase family 2."
204,"HCP21_00032950","16S"
205,"HCP21_00033070","16S"
206,"HCP21_00033120","hypothetical protein"
207,"HCP21_00033150","Leishmanolysin."
208,"HCP21_00033300","hypothetical protein"
208,"HCP21_00033330","hypothetical protein"
208,"HCP21_00033430","ABC-type transport system involved in cytochrome bd biosynthesis, fused ATPase and permease components"
208,"HCP21_00033500","UDP-N-acetylmuramoylalanine-D-glutamate ligase"
208,"HCP21_00033510","MORN repeat."
209,"HCP21_00033640","UDP-N-acetylmuramoylalanine-D-glutamate ligase"
209,"HCP21_00033720","hypothetical protein"
209,"HCP21_00033740","RNA-binding protein of the Puf family, translational repressor"
210,"HCP21_00033780","hypothetical protein"
210,"HCP21_00033910","hypothetical protein"
210,"HCP21_00034000","hypothetical protein"
210,"HCP21_00034090","Protein kinase domain."
210,"HCP21_00034360","hypothetical protein"
