"protein","clustering_coefficient"
"CCDC86",0.333333333333333
"CCDC87",0.6
"CCDC92",0
"CCDC99",0.333333333333333
"CCHCR1",0.333333333333333
"CCK",0
"CCKAR",NA
"CCL11",0
"CCL14",0
"CCL18",0
"CCL2",0.272727272727273
"CCL21",0
"CCL22",0
"CCL23",NA
"CCL3",0
"CCL3L1",0
"CCL4",NA
"CCL5",0.0545454545454545
"CCL7",0
"CCNA1",0.120708748615725
"CCNA2",0.169287696577243
"CCNB1",0.122727272727273
"CCNB1IP1",NA
"CCNB2",0.285714285714286
"CCNB3",NA
"CCND1",0.129943502824859
"CCND2",0.295238095238095
"CCND3",0.0779220779220779
"CCNDBP1",0.238095238095238
"CCNE1",0.130612244897959
"CCNE2",0.361111111111111
"CCNF",0.7
"CCNG1",0.333333333333333
"CCNG2",0.666666666666667
"CCNH",0.292397660818713
"CCNK",0.080952380952381
"CCNL1",NA
"CCNL2",0
"CCNO",0.0666666666666667
"CCNT1",0.120731707317073
"CCNT2",0.380952380952381
"CCP110",0.6
"CCR1",0
"CCR10",0
"CCR3",0.0476190476190476
"CCR4",0
"CCR5",0.102564102564103
"CCR6",NA
"CCR7",NA
"CCS",0.333333333333333
"CCT2",0.15647226173542
"CCT3",0.155049786628734
"CCT5",0.146160962072155
"CCT7",0.142642642642643
"CD101",0
"CD14",0
"CD151",0.533333333333333
"CD163",NA
"CD180",0
"CD19",0.181818181818182
"CD1D",0.1
"CD2",0.0897435897435897
"CD200",NA
"CD209",NA
"CD22",0.272727272727273
"CD226",0
"CD24",0
"CD247",0.124183006535948
"CD27",0.19047619047619
"CD28",0.0476190476190476
"CD2AP",0.124137931034483
"CD2BP2",0.11231884057971
"CD33",0.833333333333333
"CD34",0
"CD36",0.0454545454545455
"CD38",NA
"CD3D",0.464285714285714
"CD3E",0
"CD3EAP",0.254545454545455
"CD3G",0.333333333333333
"CD4",0.0442097026604069
"CD40",0.0707692307692308
"CD40LG",0
"CD44",0.138528138528139
"CD46",0.272727272727273
"CD47",0.666666666666667
"CD48",0.166666666666667
"CD5",0.19047619047619
"CD53",0.333333333333333
"CD55",NA
"CD58",0
"CD59",0
"CD63",0.241758241758242
"CD7",0
"CD72",0.6
"CD74",1
"CD79A",0.222222222222222
"CD79B",0.428571428571429
"CD80",0
"CD81",0.157894736842105
"CD82",0.183006535947712
"CD84",0
"CD86",0.166666666666667
"CD8A",0.109090909090909
"CD9",0.257352941176471
"CD99",1
"CDAN1",0.833333333333333
"CDC123",NA
"CDC14A",0.0952380952380952
"CDC16",0.310483870967742
"CDC20",0.138461538461538
"CDC23",0.242165242165242
"CDC25A",0.152173913043478
"CDC25B",0.154150197628458
"CDC25C",0.173684210526316
"CDC26",0.141666666666667
"CDC27",0.230769230769231
"CDC34",0.195238095238095
"CDC37",0.0543269230769231
"CDC39",0
"CDC42",0.0256410256410256
"CDC42BPB",0.214285714285714
"CDC42BPG",0.5
"CDC42EP1",0.238095238095238
"CDC42EP2",0
"CDC42EP3",0.285714285714286
"CDC42EP5",0
"CDC45",0.474358974358974
"CDC5",NA
"CDC5L",0.0721491228070175
"CDC6",0.177248677248677
"CDC7",0.180952380952381
"CDC73",0.120512820512821
"CDCA3",0.4
"CDCA4",0.285714285714286
"CDCA5",0.733333333333333
"CDCA8",0.283333333333333
"CDH1",0.0972677595628415
"CDH10",0.333333333333333
"CDH11",1
"CDH15",0.333333333333333
"CDH18",0.666666666666667
"CDH2",0.191666666666667
"CDH23",NA
"CDH3",0.933333333333333
"CDH4",0
"CDH5",0.10989010989011
"CDH6",1
"CDH8",NA
"CDHR1",0
"CDHR2",0.333333333333333
"CDIPT",0.4
"CDK1",0.0634796238244514
"CDK10",0.5
"CDK11A",0.177777777777778
"CDK11B",0.230769230769231
"CDK14",0
"CDK16",0.272727272727273
"CDK18",0.5
"CDK19",0.308333333333333
"CDK2",0.0700201832013662
"CDK2AP1",0.197802197802198
"CDK2AP2",0
"CDK3",0.238095238095238
"CDK4",0.075508607198748
"CDK5",0.0806451612903226
"CDK5R1",0.12987012987013
"CDK5RAP1",1
"CDK5RAP2",0.0784313725490196
"CDK5RAP3",0.0909090909090909
"CDK6",0.263157894736842
"CDK7",0.166085946573751
"CDK8",0.255191256830601
"CDK9",0.0595555555555556
"CDKL5",0
"CDKN1A",0.0487225193107546
"CDKN1B",0.123299319727891
"CDKN1C",0.327272727272727
"CDKN2A",0.0723654454997738
"CDKN2B",0
"CDKN2B-AS",NA
"CDKN2C",0.0857142857142857
"CDKN2D",0.5
"CDKN3",0.4
"CDON",0.833333333333333
"CDR2",0.5
"CDS1",1
"CDSN",0.666666666666667
"CDT1",0.155195681511471
"CDX2",0.357142857142857
"CDYL",0.417582417582418
"CEACAM1",0
"CEACAM5",0
"CEBPA",0.107589984350548
"CEBPB",0.20327868852459
"CEBPD",0.286549707602339
"CEBPE",0.0166666666666667
"CEBPG",0.266666666666667
"CEBPZ",0.169934640522876
"CELF1",0.266666666666667
"CELF2",0.166666666666667
"CELF3",0.3
"CELSR1",0
"CELSR3",0
"CENPA",0.0419287211740042
"CENPC1",0.290909090909091
"CENPE",0.181818181818182
